Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Student,60,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Already scheduled for a vaccine,Already scheduled for a vaccine
Staff,19,2,0,"Hispanic or Latinx,White",1,Heard it can kill you,,Mostly trust,Mostly safe,Somewhat confident,Transportation ,School
Student,,2,0,"Hispanic or Latinx,White",,,3,,,,,
Staff,34,1,1,White,2,,0,Mostly trust,Very safe,Very confident,Getting scheduled to get the vaccine.,"I am a Phase 4 (non-essential, no pre-existing conditions/morbidities) person, so am not yet eligible for a vaccine based on phased rollout. "
Staff,20,1,0,White,2,,3,Mostly trust,Very safe,Very confident,Availability,Lack of supply
Student,20,1,0,White,,,3,,,,,
Student,,1,1,White,2,,0,Completely trust,Mostly safe,Somewhat confident,Availability,Availability
Staff,,1,0,White,,,3,,,,,
Staff,46,1,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,nothing,nothing
Staff,21,1,0,White,,,3,,,,,
Student,21,1,1,White,,,0,,,,,
Student,22,1,1,White,,,0,,,,,
Student,21,2,1,White,2,,0,Completely trust,Very safe,Very confident,Vaccine clinics on campus,Having to stay in Boone for a second dose
Student,19,2,0,White,,,3,,,,,
Student,19,1,1,White,3,,0,Not sure,Mostly safe,Somewhat confident,Nothing,Nothing
Student,21,1,0,White,,,3,,,,,
Student,43,1,1,White,2,,0,Completely trust,Mostly safe,Very confident,on campus,leaving work
Staff,,1,0,White,,,3,,,,,
Staff,19,1,1,White,2,,0,Mostly trust,Mostly safe,Very confident,Being on campus,Being off campus 
Student,20,2,0,White,2,,3,Somewhat trust,Very safe,Somewhat confident,yes ,availability
Student,20,1,0,White,2,,3,Do not trust at all,Not safe at all,Not at all confident,Iâ€™m not getting it,Iâ€™m not getting at and you canâ€™t force me too. 
Student,30,1,0,White,,,3,,,,,
Staff,36,1,1,White,,,0,,,,,
Staff,19,2,1,White,2,,0,Somewhat trust,Very safe,Somewhat confident,Multiple times available to get it,Only one date and time available for vaccination
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,,1,0,White,1,Unseen side effects people that got it got sick from it,,Somewhat trust,Not sure,Only slightly confident,Knowing that I wonâ€™t get it and that it wonâ€™t affect my future,Not knowing the side effect it will have on my body
Student,,1,0,White,,,3,,,,,
Student,72,1,1,White,,,0,,,,,
Staff,19,2,1,Black or African American,1,The severe side effects of it,,Somewhat trust,Very safe,Somewhat confident,More information,Transportation 
Student,54,2,0,Black or African American,,,3,,,,,
Staff,,2,1,Black or African American,,,0,,,,,
Staff,,2,1,White,1,,0,Do not trust at all,Not safe at all,Not at all confident,I do not want the vaccine,religious beliefs
Staff,21,2,0,White,1,Heard that it can kill you or reduce womenâ€™s ability to get pregnant in the future.,,Not sure,Mostly safe,Somewhat confident,No classes,Classes
Student,18,2,0,White,2,,3,Completely trust,Very safe,Very confident,Being informed as soon as possible,"Not hearing of when it is available, long lines, hard time to get an appointment, etc"
Student,19,2,0,White,1,That the vaccine may cause infertility,,Do not trust at all,Not safe at all,Not sure,nothing,the risks and side effects
Student,21,1,0,White,2,,3,Completely trust,Mostly safe,Very confident,Knowing the components and doing an allergy test beforehand,If I was allergic to it/people with medical issues needed it more/time off work
Student,49,1,0,White,,,3,,,,,
Staff,,1,1,White,,,0,,,,,
Staff,20,1,1,White,2,,0,Mostly trust,Very safe,Very confident,yes ,n/a
Student,62,1,0,White,2,,3,Mostly trust,Very safe,Very confident,Just took it,n/a
Staff,,1,0,White,,,3,,,,,
Student,20,2,1,"Hispanic or Latinx,White",1,"not safe, no point in getting it since they already got COVID",,Mostly trust,Mostly safe,Only slightly confident,not sure,Not sure 
Student,36,2,0,"Hispanic or Latinx,White",,,3,,,,,
Student,38,2,1,"Hispanic or Latinx,White",,,0,,,,,
Staff,20,1,1,White,1,The autoimmune response to the vaccine seems to be not fun,,Completely trust,Very safe,Somewhat confident,Free,Distance
Student,18,2,0,Black or African American,3,,3,Mostly trust,Very safe,Somewhat confident,if i could receive it on campus ,if it were off campus. i donâ€™t have a car 
Student,18,2,0,White,1,Many people arguing that the vaccine hasnâ€™t been in trial long enough. My mother also believes a lot of religious rhetoric that the vaccine has something in it that will corrupt her soul lol ,,Mostly trust,Very safe,Very confident,having the location be on campus,"location is off campus, limited hours because i have class and meetings most days"
Student,49,2,0,White,,,3,,,,,
Staff,19,2,1,White,2,,0,Completely trust,Very safe,Very confident,yes,no
Student,,1,0,White,2,,3,Completely trust,Very safe,Very confident,Knowing when and where to get said vaccine ,Not knowing when and where we would be receiving said vaccine
Student,18,1,0,White,2,,3,Mostly trust,Very safe,Very confident,,
Student,22,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,If it is offered on campus with appointment slots,If I have to drive/wait in line for a while
Student,19,2,0,White,3,,3,Somewhat trust,Not sure,Somewhat confident,if the location was near me,family's opinions
Student,24,1,0,White,1,Vaccine was rushed into production ,,Somewhat trust,Not sure,Not at all confident,nothing,nothing
Student,21,2,0,White,1,The negative reactions such as feeling very sick after receiving it ,,Somewhat trust,Not sure,Somewhat confident,If there was less of a chance of a bad reaction,The chances of a bad reaction
Student,20,2,0,White,1,infertility and unknown side effects later in life ,,Do not trust at all,Not sure,Only slightly confident,,
Student,21,1,0,White,1,reports are coming back bad,,Do not trust at all,Not sure,Not at all confident,money,nothing 
Student,20,1,0,White,,,3,,,,,
Student,,2,1,White,1,"I have already had COVID and don't feel I need it. I believe it has not been adequately tested enough for safety/toxicity and since I have had and recovered from COVID-19, I am not interested in getting the vaccine.",,Do not trust at all,Not safe at all,Not at all confident,n/a,n/a
Staff,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,"Nothing, I am excited to get it when it is my turn! ",N/A
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,Nothing I would get it no matter what.,Nothing
Student,,2,0,White,,,3,,,,,
Staff,22,2,1,White,3,,0,Somewhat trust,Mostly safe,Somewhat confident,If I wanted to ,If I didnâ€™t want to 
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,,
Student,21,2,0,Hispanic or Latinx,2,,3,Mostly trust,Very safe,Somewhat confident,having an advanced notice,last minute planning
Student,34,1,0,Hispanic or Latinx,1,Personally cared for others who have become ill after taking the second dose of the Pfizer vaccine.,,Mostly trust,Mostly safe,Somewhat confident,Ease of scheduling/working around my schedule,Limited scheduling opportunities
Student,18,2,0,White,1,Bad reactions and fake news,,Do not trust at all,Not sure,Not at all confident,"I just donâ€™t really want it thatâ€™s all. I donâ€™t even get a flu vaccine, theyâ€™re not my thing. ","I just donâ€™t really want it thatâ€™s all. I donâ€™t even get the flu vaccine, theyâ€™re not my thing"
Student,19,1,0,"American Indian or Alaska Native,White",2,,3,Completely trust,Very safe,Very confident,Having locations to get the vaccine on campus,Having to travel
Student,20,1,0,"American Indian or Alaska Native,White",,,3,,,,,
Student,19,2,1,White,2,,0,Mostly trust,Very safe,Very confident,"I donâ€™t live on campus, so if it were available at my local doctors office that would be easier than driving to Boone",Requiring an appointment on campus
Student,54,2,0,White,1,"That it causes sickness and in some instances, death",,Mostly trust,Mostly safe,Somewhat confident,convenient location and free,off campus
Staff,63,2,0,White,,,3,,,,,
Staff,21,1,1,White,2,,0,Completely trust,Very safe,Very confident,Getting the vaccine at App or getting it within TN.,My age I assume.
Student,24,1,0,White,,,3,,,,,
Student,20,2,1,White,1,Serialization ,,Not sure,Mostly safe,Only slightly confident,"Facts, more research ",
Student,37,2,0,White,,,3,,,,,
Staff,20,2,1,White,1,side effects ,,Mostly trust,Mostly safe,Somewhat confident,"Location, Times, Cost friendly, ect.",I will try and get the vaccine no matter what the situation is.
Student,21,1,0,White,1,Had a friend get super sick and others get rashes. Even a nurse telling me a lot of people have came in with rashes and sickness,,Somewhat trust,Not sure,Not sure,I'm getting it later today ,People forcing me to get it 
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,The vaccine being on campus,if the vaccine was off campus and not free 
Student,21,2,0,White,,,3,,,,,
Student,19,1,1,White,1,People have had stuff grow on ears,,Mostly trust,Mostly safe,Somewhat confident,Persuasive pamphlet,Me getting it before my dad
Student,26,1,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,22,2,0,Black or African American,1,"Adverse side effects, specifically from the Johnson and Johnson Vaccine ",,Mostly trust,Mostly safe,Very confident,"detailed write up of the vaccine, including the science of how it works, and possible side effects","If I felt as if I didn't have enough information about the vaccine, I would be hesitant to get it. "
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,"Having my own transportation, supportive family, body autonomy ",Getting time off work
Student,52,2,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,Let me get my family vaccinated with me,Getting vaccinated without my family
Staff,63,2,0,White,,,3,,,,,
Staff,57,1,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,cant be much easier.,getting an appointment.
Staff,,1,0,White,1,Not enough research or trials ,,Somewhat trust,Not sure,Somewhat confident,Nothing ,Nothing 
Staff,21,1,0,White,,,3,,,,,
Student,21,1,1,White,,,0,,,,,
Student,,2,1,White,2,,0,Completely trust,Very safe,Very confident,,
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,If app distributed it ,If I had no where to get it
Student,,1,0,White,1,Infertility is a concern that I have heard people are worried about especially women. There is no proof on this but it is something that can't really be tested on so it's hard to know.,,Mostly trust,Mostly safe,Somewhat confident,Drive through stations similar to what App state is doing for testing at legends.,
Student,18,2,0,White,2,,3,Somewhat trust,Mostly safe,Very confident,Getting all the info on it before receiving it. ,Finding where to get it. 
Student,20,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,,
Student,19,1,0,White,,,3,,,,,
Student,18,2,1,White,3,,0,Mostly trust,Very safe,Very confident,"Having an open appointment! Iâ€™m already eligible, but everywhere is fully booked where I live (Charlotte next to Rock Hill)","That not being communicated, lack of appointments, having to go in a crowded place to get vaccinated"
Student,19,2,0,White,,,3,,,,,
Student,19,2,1,White,1,infertility,,Completely trust,Very safe,Very confident,nothing,nothing
Student,,2,0,White,,,3,,,,,
Staff,32,2,1,White,,,0,,,,,
Student,20,2,1,White,3,,0,Mostly trust,Mostly safe,Somewhat confident,If i could get it on campus,if I had to drive far away to get it
Student,20,2,0,White,,,3,,,,,
Student,20,2,1,White,2,,0,Completely trust,Mostly safe,Very confident,The vaccine being distributed on campus,difficult time slots to get the vaccine
Student,,1,0,White,1,my friend got had adverse side effects and actually covid from the vaccine ,,Mostly trust,Mostly safe,Somewhat confident,communication ,the lack of communication 
Student,20,1,0,White,,,3,,,,,
Student,51,2,1,White,1,"Getting sick after receiving a vaccine.  It doesn't give ME hesitation, but it gives others hesitation.",,Mostly trust,Very safe,Very confident,Have it on campus w/i walking distance,"If it were far away, over 30 minutes driving time."
Staff,31,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Easy sign up and clear process,Childcare 
Staff,19,1,0,White,2,,3,Completely trust,Very safe,Very confident,A sign up time ,If it were only to NC residents 
Student,19,2,0,Hispanic or Latinx,1,People have had bad reactions. ,,Somewhat trust,Mostly safe,Somewhat confident,Getting some more information about it.,Availability.
Student,21,1,0,White,2,,3,Mostly trust,Mostly safe,Only slightly confident,,
Student,21,1,0,"Asian,White,Biracial / Multiracial / Mixed",1,The side effects,,Mostly trust,Very safe,Very confident,Weekend distribution,Class scheduling 
Student,21,1,0,White,2,,3,Completely trust,Very safe,Very confident,Flexible timing/location,Location
Student,58,1,0,White,,,3,,,,,
Staff,19,2,1,White,1,I've heard people concerned about the long term effects that we don't know about because the vaccine was made so quickly,,Mostly trust,Very safe,Somewhat confident,More on campus sites and more resources about how to schedule to get off campus,Demand and resources
Student,20,2,0,White,,,3,,,,,
Student,46,2,1,White,,,0,,,,,
Staff,21,1,1,White,1,Itâ€™s still early in the vaccine process and Iâ€™d like to wait and see what after effects happen.,,Do not trust at all,Not safe at all,Not at all confident,I wouldnâ€™t ,The vaccine 
Student,19,2,0,White,2,,3,Somewhat trust,Mostly safe,Very confident,Knowing that my friends and community will be getting it too,"If Iâ€™m the only one I know getting it, and if there is a stereotype going around about the people getting it ."
Student,19,1,0,Hispanic or Latinx,2,,3,Somewhat trust,Mostly safe,Only slightly confident,If itâ€™s close to me,Itâ€™s itâ€™s not close 
Student,59,2,0,White,1,Some feel there is not enough information out yet about the vaccines.  Others believe conspiracy theories.,,Completely trust,Very safe,Very confident,,
Staff,19,2,0,White,1,"Iâ€™ve had reactions to vaccines in the past before, and that always makes me nervous. There have also been concerns about long term effects not being understood and the reluctance of Pfizer to answer specific questions about potential issues of the vaccine.  ",,Somewhat trust,Mostly safe,Somewhat confident,Being in a location where it was available ,"The fact that Iâ€™m living at home, combined with my healthy skepticism of the information out there. "
Student,21,2,0,White,2,,3,Completely trust,Very safe,Very confident,The fact itâ€™s on campus ,Time 
Student,18,2,0,White,1,Side effects that people are experiencing from the vaccine and the ingredients in vaccines. ,,Mostly trust,Mostly safe,Somewhat confident,Iâ€™m not sure. ,The side effects and the ingredients in vaccines. 
Student,19,2,0,Hispanic or Latinx,2,,3,Completely trust,Very safe,Very confident,Easily accessible (in an area Iâ€™m familiar with),"If it were given in a town too far away,"
Student,20,2,0,White,1,Iâ€™m unsure of how safe the vaccine is for my future health. ,,Do not trust at all,Not sure,Somewhat confident,If I knew these vaccines were actually safe in the long run. ,"I work full time and go to school full time, the time to go out to get vaccinated (in some cases twice) is difficult for someone in my position. "
Student,,2,0,White,,,3,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,20,2,1,Hispanic or Latinx,2,,0,Mostly trust,Very safe,Very confident,"Wide range of appointments and times, to better fit into my schedule. ","Limited times, limited places offering the vaccine"
Student,19,2,0,White,1,Doesnt work/political stances/ may cause health problems ,,Mostly trust,Mostly safe,Very confident,Knowing that it works and that it doesnt cause any future health problems ,If my family doesnt approve 
Student,20,1,0,White,1,The risks of becoming sterile,,Do not trust at all,Mostly safe,Somewhat confident,"Nothing, Iâ€™m not taking it ",The little information we have about the side effects 
Student,24,2,0,White,1,"Allergic reactions, side effects, clinics monitor patients for reaction/side effects which is abnormal for other vaccines",,Mostly trust,Mostly safe,Somewhat confident,"Close to my house, flexible hours","Far away, only open during times I cannot come"
Student,,1,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Transport,Transport 
Student,68,1,0,White,,,3,,,,,
Staff,30,1,1,White,,,0,,,,,
Student,,2,1,White,2,,0,Completely trust,Very safe,Very confident,being provided the steps to get it,i donâ€™t see any difficulties 
Student,,2,0,White,,,3,,,,,
Student,67,2,1,White,,,0,,,,,
Staff,20,1,1,Asian,2,,0,Completely trust,Mostly safe,Somewhat confident,Ease of getting it location wise,School
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,if i didnt have school work to focus on and could take time off to deal with the side affects ,my school work and job 
Student,,2,0,Biracial / Multiracial / Mixed,1,Unknown side effects,,Somewhat trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity to work or home,N/A
Staff,18,2,0,Biracial / Multiracial / Mixed,,,3,,,,,
Student,21,2,1,Biracial / Multiracial / Mixed,,,0,,,,,
Student,24,2,1,Biracial / Multiracial / Mixed,,,0,,,,,
Student,19,2,1,Biracial / Multiracial / Mixed,,,0,,,,,
Student,19,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,,
Student,29,3,0,White,2,,3,Completely trust,Very safe,Somewhat confident,not having to drive to campus to get it (i live in lenoir) or it being offered on a weekend,not being able to get off work to go get it
Staff,20,2,0,White,1,I dont think there is enough research given about the vaccine for me to feel comfortable getting it.,,Do not trust at all,Not safe at all,Not at all confident,more research,there is no research
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,For it to be readily available close to me.,Nothing.
Student,21,2,0,White,,,3,,,,,
Student,46,2,1,White,,,0,,,,,
Staff,,2,1,White,1,I will not take the Johnson and Johnson vaccine.  I want the Pfizer.,,Not sure,Very safe,Somewhat confident,Offer all 3 vaccines; don't limit me to what you want me to have. I have a choice in this.,Crowds of people. I still want to social distance. I'm caregiver to my 93 yr old parents. I have to protect them and myself.
Staff,20,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,On Campus location to get it ,Going somewhere off campus that I can't get to by bus.
Student,20,1,0,White,2,,3,Completely trust,Very safe,Very confident,,"Class times, I also work part time."
Student,19,2,0,"Asian,White",2,,3,Completely trust,Very safe,Very confident,Have the vaccine on campus,"Not being able to get there, I donâ€™t have a car"
Student,19,2,0,"Asian,White",,,3,,,,,
Staff,19,2,1,"Asian,White",,,0,,,,,
Student,18,2,1,White,2,,0,Mostly trust,Very safe,Very confident,,Transportation 
Student,19,2,0,White,1,Fertility issues,,Completely trust,Very safe,Very confident,Knowing other people got it,Improper handling or distibution
Student,35,2,0,White,,,3,,,,,
Staff,18,2,1,White,,,0,,,,,
Student,19,2,1,Hispanic or Latinx,1,Causes death and unsure if itâ€™s the safest option,,Mostly trust,Mostly safe,Somewhat confident,,
Student,19,6,0,"Black or African American,Hispanic or Latinx",2,,3,Mostly trust,Very safe,Somewhat confident,knowing when i can get it,not sure
Student,,2,0,White,2,,3,Completely trust,Very safe,Very confident,Location,Location
Staff,41,2,0,White,,,3,,,,,
Staff,21,2,1,White,1,johnson and johnson as effective,,Completely trust,Not sure,Very confident,,unsure which group i am in
Student,21,2,0,White,,,3,,,,,
Student,19,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,,
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Location on campus,Time
Student,18,2,0,White,1,The pain ,,Mostly trust,Very safe,Somewhat confident,If it was the Johnson and Johnson vaccination ,Being alone
Student,22,2,0,White,,,3,,,,,
Student,20,2,1,White,,,0,,,,,
Student,22,2,1,White,,,0,,,,,
Student,19,2,1,White,2,,0,Mostly trust,Mostly safe,Very confident,if i could get it through the school the same way i can get covid tests right now,if i had to go super out of the way to find a place or make an appointment 
Student,,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Working with an overall busy schedule ,Not being able to get an appointment
Student,19,2,0,White,,,3,,,,,
Student,18,1,1,Hispanic or Latinx,3,,0,Mostly trust,Very safe,Somewhat confident,more publicized information ,location 
Student,21,2,0,White,3,,3,Mostly trust,Very safe,Very confident,Idk,Idk
Student,36,2,0,White,1,"The concern is that the Moderna & Pfizer vaccines have no long term studies completed, as well as the Johnson & Johnson having questionable ingredients.",,Not sure,Not safe at all,Somewhat confident,Nothing at this time - need more information regarding long term effects of the vaccine,Not enough information & research about long term effects of the vaccine
Staff,,1,0,White,2,,3,Completely trust,Very safe,Very confident,"I would get it regardless, Iâ€™m ready whenever ",If I had to travel far away to receive it
Student,19,2,0,White,1,,3,Somewhat trust,Not sure,Only slightly confident,"Nothing really, Itâ€™s not that I donâ€™t find it difficult ",I donâ€™t know 
Student,20,1,0,White,1,Not me but others are wary of the fast tracking of the vaccines and worry about unknown effects,,Mostly trust,Mostly safe,Somewhat confident,"Clear communication on when, where, and how to get it",Extremely long wait list/lines
Student,19,1,0,White,,,3,,,,,
Student,21,2,1,White,3,,0,Mostly trust,Mostly safe,Very confident,If the vaccines were offered in a consistent and organized fashion.,If there is a time frame to receive the vaccine does not work with my own schedule.
Student,21,2,0,"American Indian or Alaska Native,Black or African American",1,Very bad reactions to the vaccine that involve facial deformities and death,,Somewhat trust,Not sure,Only slightly confident, Successful results of students who have already taken it,Transportation and bad results from students who have taken ththe vaccine 
Student,55,1,0,White,2,,3,Completely trust,Mostly safe,Very confident,Receive it somewhere close to home,"Time available, distance to travel"
Staff,34,1,0,White,,,3,,,,,
Student,19,1,1,White,,,0,,,,,
Student,19,2,1,White,3,,0,Mostly trust,Mostly safe,Somewhat confident,Orderly Accessibility ,Shortage of doses
Student,35,2,0,White,,,3,,,,,
Staff,,2,1,"Black or African American,White,Biracial / Multiracial / Mixed",2,,0,Mostly trust,Very safe,Somewhat confident,If the vaccine were given somewhere close to my dorm and on a weekend so it won't impact my classes.,"If the vaccine was being given on a weekday, or if it was really far from my dorm. "
Student,,1,0,White,2,,3,Mostly trust,Very safe,Very confident,A set-up similar to testing events that have taken place; in and out. ,Timing 
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,"Free of charge, location close to campus/my apartment ","Far away location, costly, long wait"
Student,18,1,0,White,1,A nurse shared a video online with half of her face becoming paralyzed within a day of receiving the vaccine.,,Somewhat trust,Not sure,Only slightly confident,Many many studies on possible health concerns related to the vaccine.,Being a test rat. I'd like to see hundreds of thousands of people vaccinated before me. It is too early to know what this vaccine may do to ones health.
Student,18,1,0,White,1,"I did see some stuff about how it can possibly cause infertility, but that may well have just been misinformation. I am not sure.",,Mostly trust,Mostly safe,Very confident,If it was in a good location,"If some information gets released that it could negatively affect me, or if it was just really inconvenient"
Student,19,2,0,Hispanic or Latinx,1,"When the vaccine was first being developed, there were many rumors involving what the vaccinate was made from, how it would be administered, and what the possible side effects. These rumors were of course incredibly false but it really pushed a negative narrative on getting the vaccine and this has deterred many people I know from wanting to get vaccinated. I am trying everyday to convince them that these rumors were false and ridiculous to even believe because our modern medicine is not here to kill us. I hope that people understand that getting vaccinated not only helps them but it helps many others.",,Mostly trust,Very safe,Very confident,Having the opportunity to take it closer to home rather than travel to App Stateâ€™s campus to receive my dose.,Not securing an appointment due to the high demand.
Student,21,1,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,Convenience of getting the physical injection ,Not being able to get an appointment 
Student,19,2,0,White,1,,3,Do not trust at all,Not safe at all,Not at all confident,,
Student,19,2,0,White,1,"Many side effects and complications, doctor died after receiving the vaccine, it doesn't react well with some people's bodies, and it is too new ",,Do not trust at all,Not safe at all,Not at all confident,I wouldn't get the vaccine ,"The things I heave heard and the things my mother has informed me of, I wouldn't get the vaccine"
Student,20,2,0,Asian,2,,3,Mostly trust,Very safe,Somewhat confident,Transportation and physical access to location of vaccine site.,"Lack of transportation or inaccessible location to vaccine site. Also, if social distancing and masks were not enforced at or near the site."
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,21,1,0,White,1,"Side effects, change of RNA, overall effectiveness, contracting the virus from the vaccine",,Do not trust at all,Not sure,Not at all confident,"Years of study of long term effect on people, no politicization of the virus or vaccine",Politicization of the virus and vaccine. Mixed reviews of the effectiveness of the vaccine
Student,64,1,0,White,,,3,,,,,
Staff,20,2,1,White,2,,0,Completely trust,Very safe,Very confident,having the information to know where to go to sign up,not having enough information on how to receive it.
Student,,2,0,White,3,,3,Mostly trust,Mostly safe,Not at all confident,not taking it,not taking it
Student,19,2,0,White,1,efficacy rates and possible long term risks,,Not sure,Mostly safe,Somewhat confident,knowing the long term risks are low,"i have epilepsy and i'm worried that the vaccine could interfere with my medication, or that the day of fatigue after the second dose could be bad enough to trigger a seizure"
Student,19,1,0,White,2,,3,Completely trust,Very safe,Somewhat confident,"Having a wide range of times available to get the vaccine, offering multiple on-campus locations",Working around a busy schedule to get the vaccine
Student,23,1,0,White,,,3,,,,,
Staff,21,2,1,White,2,,0,Mostly trust,Very safe,Very confident,If I had a couple days of break because the vaccine is now to make you feel a little under the weather after. ,I would like to have the aility to schedule a time vs being assignment a time due to classwork. Seeing as we have not been given a break and are looking like we will only one (Because it is required). I feel very stressed out by my workload.. 
Student,28,2,0,White,,,3,,,,,
Student,26,2,1,White,3,,0,Mostly trust,Mostly safe,Somewhat confident,I would like more information on long-term effects and fillers used in vaccine,learning about negative side effects or ineffectiveness
Student,21,2,0,White,,,3,,,,,
Student,20,1,1,White,2,,0,Somewhat trust,Very safe,Somewhat confident,More places to be vaccinated,"Lack of places to get vaccinated, lack of people vaccinating patients, therefore leading to limited appointment opportunities"
Student,19,2,0,White,1,The second shot of the Moderna making you sick.,,Mostly trust,Very safe,Somewhat confident,Having pop up clinics everyday for a large range of time.,I vaccines were limited and they ran out of them while I was in line to get one.
Student,,2,0,White,,,3,,,,,
Staff,20,2,1,White,,,0,,,,,
Student,,1,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,Proximity,Not much 
Student,43,1,0,White,,,3,,,,,
Staff,,1,1,White,,,0,,,,,
Staff,33,1,1,White,2,,0,Completely trust,Very safe,Very confident,"Easy sign-up, local availability",Confusion about how to sign up
Staff,,2,0,White,2,,3,Somewhat trust,Mostly safe,Only slightly confident,A text or phone call,not being able to reach me
Student,32,2,0,White,,,3,,,,,
Staff,19,2,1,"Hispanic or Latinx,White",1,"Body aches, fatigue, general discomfort",,Somewhat trust,Mostly safe,Somewhat confident,More information about side effects,Not being on campus
Student,21,7,0,White,1,"Its our Constitutional right to not take a vaccine. This was produced in 9 months, vacines take 3-5 years. ",,Do not trust at all,Not safe at all,Not at all confident,Nothing I will not get the vaccine. ,I will not take the vaccine.
Student,,2,0,White,1,Getting sick ,,Mostly trust,Mostly safe,Very confident,Being in campus ,Long wait 
Student,21,2,0,White,,,3,,,,,
Student,20,2,1,White,1,"The side effects and the fact that we still don't know much about COVID or the vaccines. If it makes me immune to the disease, then i will get it. If it is preventative like the flue vaccine, then no.",,Somewhat trust,Not sure,Not at all confident,Data on the side effects and preventativeness of the vaccine.,"Work and school, if i have bad side effects then i would be able to work so i won't be able to pay rent or buy food."
Student,20,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Smooth and efficient administering of the vaccines at the vaccination site,School/class obligations and over-crowding of the vaccination sites
Student,,2,0,White,1,,3,Do not trust at all,Mostly safe,Only slightly confident,If it was mandatory to travel out of country. ,
Student,24,1,0,White,1,Possible unknown side effects because it was developed so quickly.,,Mostly trust,Mostly safe,Somewhat confident,Evidence it has no negative side effects,People having adverse side effects
Student,18,1,0,Hispanic or Latinx,2,,3,Mostly trust,Not safe at all,Very confident,Announcing it around the school,Appointment availability 
Student,20,2,0,White,1,Negative side effects (IE sickness the next day),,Mostly trust,Mostly safe,Very confident,"Flexibility with time slots (IE, more time slots in the evening of weekends)","Busy schedule during â€˜normal/traditionalâ€™ hours of the day (IE, 8am-6pm)"
Student,21,1,0,Black or African American,2,,3,Completely trust,Very safe,Very confident,Free chocolate after,No free chocolate:(
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,N/A,Location
Student,23,1,0,White,1,Makes people more sick,,Do not trust at all,Not safe at all,Not at all confident,,
Student,48,1,0,White,,,3,,,,,
Staff,22,1,1,White,2,,0,Completely trust,Very safe,Very confident,Unsure,Unsure
Student,29,1,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,,
Student,,1,0,White,,,3,,,,,
Staff,55,1,1,White,,,0,,,,,
Staff,21,2,1,White,1,Future fertility issues,,Somewhat trust,Mostly safe,Somewhat confident,More research,Lack of research 
Student,19,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Staff,,2,1,Hispanic or Latinx,2,,0,Mostly trust,Mostly safe,Only slightly confident,Having a chart of possible symptoms readily available ,My fear of needles
Student,20,2,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,Distribution of vaccines in people's cars and not standing in large lines or crowds for it,Long lines and being around a lot of other people while trying to get it
Student,,2,0,White,,,3,,,,,
Staff,19,1,1,White,3,,0,Somewhat trust,Mostly safe,Somewhat confident,Close to campus and easy to set an appointment ,Really far out of the way and hard to set up an appointment 
Student,24,1,0,White,,,3,,,,,
Student,22,7,1,White,1,Bad reactions/death due to vaccine ,,Mostly trust,Mostly safe,Somewhat confident,Vaccine offered on campus ,Vaccine offered far away 
Student,20,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Having an easy location to get it,Nothing
