Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles,Reasons for Hesitation_pol,Reasons for Hesitation_subj,Reasons for Hesitation_sent,Obstacles_sent,Accessibility_sent,Accessibility_n,Obstacles_n,Reasons for Hesitation_n,Respondent_n,Race_n,Confidence Level_n,Trust Level_n,Safety Level_n,Cluster,Obstacles_tk,Reasons for Hesitation_tk,Accessibility_tk 
Student,19,2,0,White,3.0,Infertility concern heard people worried especially women. proof can't tested hard know.,3.0,Mostly trust,Very safe,Very confident,"open appointment! Iâ™m eligible, fully booked live (Charlotte Rock Hill)","communicated, lack appointments, crowded place vaccinated",-0.030555555555555558,0.5805555555555556,negative,neutral,positive,588,328,74,1,18,4,2,3,1,"['communicated', ',', 'lack', 'appointments', ',', 'crowded', 'place', 'vaccinated']","['Infertility', 'concern', 'heard', 'people', 'worried', 'especially', 'women', '.', 'proof', 'ca', ""n't"", 'tested', 'hard', 'know', '.']","['open', 'appointment', '!', 'Iâ™m', 'eligible', ',', 'fully', 'booked', 'live', '(', 'Charlotte', 'Rock', 'Hill', ')']"
Student,19,2,1,White,1.0,infertility,3.0,Completely trust,Very safe,Very confident,,,0.0,0.0,neutral,neutral,neutral,0,0,272,1,18,4,0,3,4,[],['infertility'],[]
Student,19,2,0,White,1.0,infertility,3.0,Completely trust,Very safe,Very confident,,,0.0,0.0,neutral,neutral,neutral,0,0,272,1,18,4,0,3,4,[],['infertility'],[]
Staff,32,2,1,White,1.0,infertility,0.0,Completely trust,Very safe,Very confident,,,0.0,0.0,neutral,neutral,neutral,0,0,272,0,18,4,0,3,4,[],['infertility'],[]
Student,20,2,1,White,3.0,infertility,0.0,Mostly trust,Mostly safe,Somewhat confident,campus,drive far away,0.0,0.0,neutral,positive,neutral,366,362,272,1,18,3,2,0,1,"['drive', 'far', 'away']",['infertility'],['campus']
Student,20,2,0,White,3.0,infertility,3.0,Mostly trust,Mostly safe,Somewhat confident,campus,drive far away,0.0,0.0,neutral,positive,neutral,366,362,272,1,18,3,2,0,1,"['drive', 'far', 'away']",['infertility'],['campus']
Student,20,2,1,White,2.0,infertility,0.0,Completely trust,Mostly safe,Very confident,vaccine distributed campus,difficult time slots vaccine,0.0,0.0,neutral,negative,neutral,703,345,272,1,18,4,0,0,1,"['difficult', 'time', 'slots', 'vaccine']",['infertility'],"['vaccine', 'distributed', 'campus']"
Student,20,1,0,White,1.0,friend got adverse effects actually covid vaccine,0.0,Mostly trust,Mostly safe,Somewhat confident,communication,lack communication,0.0,0.1,neutral,neutral,neutral,407,469,246,1,18,3,2,0,3,"['lack', 'communication']","['friend', 'got', 'adverse', 'effects', 'actually', 'covid', 'vaccine']",['communication']
Student,20,1,0,White,1.0,friend got adverse effects actually covid vaccine,3.0,Mostly trust,Mostly safe,Somewhat confident,communication,lack communication,0.0,0.1,neutral,neutral,neutral,407,469,246,1,18,3,2,0,3,"['lack', 'communication']","['friend', 'got', 'adverse', 'effects', 'actually', 'covid', 'vaccine']",['communication']
Student,51,2,1,White,1.0,"Getting sick receiving vaccine. hesitation, gives hesitation.",3.0,Mostly trust,Very safe,Very confident,campus w/i walking distance,"far away,  minutes driving time.",-0.7142857142857143,0.8571428571428571,negative,positive,neutral,383,391,59,1,18,4,2,3,0,"['far', 'away', ',', 'minutes', 'driving', 'time', '.']","['Getting', 'sick', 'receiving', 'vaccine', '.', 'hesitation', ',', 'gives', 'hesitation', '.']","['campus', 'w/i', 'walking', 'distance']"
Staff,31,2,0,White,2.0,"Getting sick receiving vaccine. hesitation, gives hesitation.",3.0,Completely trust,Very safe,Somewhat confident,Easy sign clear process,Childcare,-0.7142857142857143,0.8571428571428571,negative,neutral,positive,86,28,59,0,18,3,0,3,2,['Childcare'],"['Getting', 'sick', 'receiving', 'vaccine', '.', 'hesitation', ',', 'gives', 'hesitation', '.']","['Easy', 'sign', 'clear', 'process']"
Staff,19,1,0,White,2.0,"Getting sick receiving vaccine. hesitation, gives hesitation.",3.0,Completely trust,Very safe,Very confident,sign time,NC residents,-0.7142857142857143,0.8571428571428571,negative,neutral,neutral,658,176,59,0,18,4,0,3,2,"['NC', 'residents']","['Getting', 'sick', 'receiving', 'vaccine', '.', 'hesitation', ',', 'gives', 'hesitation', '.']","['sign', 'time']"
Student,19,2,0,Hispanic or Latinx,1.0,People bad reactions.,3.0,Somewhat trust,Mostly safe,Somewhat confident,Getting information it.,Availability.,-0.6999999999999998,0.6666666666666666,negative,neutral,positive,124,17,111,1,13,3,4,0,2,"['Availability', '.']","['People', 'bad', 'reactions', '.']","['Getting', 'information', 'it', '.']"
Student,21,1,0,White,2.0,People bad reactions.,3.0,Mostly trust,Mostly safe,Only slightly confident,Getting information it.,Availability.,-0.6999999999999998,0.6666666666666666,negative,neutral,positive,124,17,111,1,18,2,2,0,2,"['Availability', '.']","['People', 'bad', 'reactions', '.']","['Getting', 'information', 'it', '.']"
Student,21,1,0,"Asian,White,Biracial / Multiracial / Mixed",1.0,effects,3.0,Mostly trust,Very safe,Very confident,Weekend distribution,Class scheduling,0.0,0.0,neutral,neutral,neutral,310,33,210,1,7,4,2,3,4,"['Class', 'scheduling']",['effects'],"['Weekend', 'distribution']"
Student,21,1,0,White,2.0,effects,3.0,Completely trust,Very safe,Very confident,Flexible timing/location,Location,0.0,0.0,neutral,neutral,neutral,114,145,210,1,18,4,0,3,4,['Location'],['effects'],"['Flexible', 'timing/location']"
Student,58,1,0,White,2.0,effects,3.0,Completely trust,Very safe,Very confident,Flexible timing/location,Location,0.0,0.0,neutral,neutral,neutral,114,145,210,1,18,4,0,3,4,['Location'],['effects'],"['Flexible', 'timing/location']"
Staff,19,2,1,White,1.0,I've heard people concerned long term effects know vaccine quickly,3.0,Mostly trust,Very safe,Somewhat confident,campus sites resources schedule campus,Demand resources,0.14166666666666666,0.45,positive,neutral,positive,376,48,70,0,18,3,2,3,2,"['Demand', 'resources']","['I', ""'ve"", 'heard', 'people', 'concerned', 'long', 'term', 'effects', 'know', 'vaccine', 'quickly']","['campus', 'sites', 'resources', 'schedule', 'campus']"
Student,20,2,0,White,1.0,I've heard people concerned long term effects know vaccine quickly,3.0,Mostly trust,Very safe,Somewhat confident,campus sites resources schedule campus,Demand resources,0.14166666666666666,0.45,positive,neutral,positive,376,48,70,1,18,3,2,3,2,"['Demand', 'resources']","['I', ""'ve"", 'heard', 'people', 'concerned', 'long', 'term', 'effects', 'know', 'vaccine', 'quickly']","['campus', 'sites', 'resources', 'schedule', 'campus']"
Student,46,2,1,White,1.0,I've heard people concerned long term effects know vaccine quickly,0.0,Mostly trust,Very safe,Somewhat confident,campus sites resources schedule campus,Demand resources,0.14166666666666666,0.45,positive,neutral,positive,376,48,70,1,18,3,2,3,2,"['Demand', 'resources']","['I', ""'ve"", 'heard', 'people', 'concerned', 'long', 'term', 'effects', 'know', 'vaccine', 'quickly']","['campus', 'sites', 'resources', 'schedule', 'campus']"
Staff,21,1,1,White,1.0,Itâ™s early vaccine process Iâ™d like wait effects happen.,0.0,Do not trust at all,Not safe at all,Not at all confident,wouldnâ™t,vaccine,0.1,0.3,positive,neutral,neutral,735,651,80,0,18,0,1,1,0,['vaccine'],"['Itâ™s', 'early', 'vaccine', 'process', 'Iâ™d', 'like', 'wait', 'effects', 'happen', '.']",['wouldnâ™t']
Student,19,2,0,White,2.0,Itâ™s early vaccine process Iâ™d like wait effects happen.,3.0,Somewhat trust,Mostly safe,Very confident,Knowing friends community getting,"Iâ™m know getting it, stereotype going people getting .",0.1,0.3,positive,neutral,neutral,176,105,80,1,18,4,4,0,2,"['Iâ™m', 'know', 'getting', 'it', ',', 'stereotype', 'going', 'people', 'getting', '.']","['Itâ™s', 'early', 'vaccine', 'process', 'Iâ™d', 'like', 'wait', 'effects', 'happen', '.']","['Knowing', 'friends', 'community', 'getting']"
Student,19,1,0,Hispanic or Latinx,2.0,Itâ™s early vaccine process Iâ™d like wait effects happen.,3.0,Somewhat trust,Mostly safe,Only slightly confident,itâ™s close,Itâ™s itâ™s close,0.1,0.3,positive,neutral,neutral,511,102,80,1,13,2,4,0,2,"['Itâ™s', 'itâ™s', 'close']","['Itâ™s', 'early', 'vaccine', 'process', 'Iâ™d', 'like', 'wait', 'effects', 'happen', '.']","['itâ™s', 'close']"
Student,59,2,0,White,1.0,feel information vaccines. believe conspiracy theories.,3.0,Completely trust,Very safe,Very confident,itâ™s close,Itâ™s itâ™s close,0.0,0.5,neutral,neutral,neutral,511,102,241,1,18,4,0,3,4,"['Itâ™s', 'itâ™s', 'close']","['feel', 'information', 'vaccines', '.', 'believe', 'conspiracy', 'theories', '.']","['itâ™s', 'close']"
Staff,19,2,0,White,1.0,"Iâ™ve reactions vaccines past before, makes nervous. concerns long term effects understood reluctance Pfizer answer specific questions potential issues vaccine.",3.0,Somewhat trust,Mostly safe,Somewhat confident,location available,"fact Iâ™m living home, combined healthy skepticism information there.",-0.075,0.44375,negative,positive,positive,539,377,86,0,18,3,4,0,0,"['fact', 'Iâ™m', 'living', 'home', ',', 'combined', 'healthy', 'skepticism', 'information', 'there', '.']","['Iâ™ve', 'reactions', 'vaccines', 'past', 'before', ',', 'makes', 'nervous', '.', 'concerns', 'long', 'term', 'effects', 'understood', 'reluctance', 'Pfizer', 'answer', 'specific', 'questions', 'potential', 'issues', 'vaccine', '.']","['location', 'available']"
Student,21,2,0,White,2.0,"Iâ™ve reactions vaccines past before, makes nervous. concerns long term effects understood reluctance Pfizer answer specific questions potential issues vaccine.",3.0,Completely trust,Very safe,Very confident,fact itâ™s campus,Time,-0.075,0.44375,negative,neutral,neutral,462,235,86,1,18,4,0,3,2,['Time'],"['Iâ™ve', 'reactions', 'vaccines', 'past', 'before', ',', 'makes', 'nervous', '.', 'concerns', 'long', 'term', 'effects', 'understood', 'reluctance', 'Pfizer', 'answer', 'specific', 'questions', 'potential', 'issues', 'vaccine', '.']","['fact', 'itâ™s', 'campus']"
Student,18,2,0,White,1.0,effects people experiencing vaccine ingredients vaccines.,3.0,Mostly trust,Mostly safe,Somewhat confident,Iâ™m sure.,effects ingredients vaccines.,0.0,0.0,neutral,neutral,negative,164,370,217,1,18,3,2,0,1,"['effects', 'ingredients', 'vaccines', '.']","['effects', 'people', 'experiencing', 'vaccine', 'ingredients', 'vaccines', '.']","['Iâ™m', 'sure', '.']"
Student,19,2,0,Hispanic or Latinx,2.0,effects people experiencing vaccine ingredients vaccines.,3.0,Completely trust,Very safe,Very confident,Easily accessible (in area Iâ™m familiar with),"given town far away,",0.0,0.0,neutral,positive,positive,77,417,217,1,13,4,0,3,1,"['given', 'town', 'far', 'away', ',']","['effects', 'people', 'experiencing', 'vaccine', 'ingredients', 'vaccines', '.']","['Easily', 'accessible', '(', 'in', 'area', 'Iâ™m', 'familiar', 'with', ')']"
Student,20,2,0,White,1.0,Iâ™m unsure safe vaccine future health.,3.0,Do not trust at all,Not sure,Somewhat confident,knew vaccines actually safe long run.,"work time school time, time vaccinated (in cases twice) difficult position.",0.25,0.3125,positive,positive,positive,515,689,81,1,18,3,1,2,0,"['work', 'time', 'school', 'time', ',', 'time', 'vaccinated', '(', 'in', 'cases', 'twice', ')', 'difficult', 'position', '.']","['Iâ™m', 'unsure', 'safe', 'vaccine', 'future', 'health', '.']","['knew', 'vaccines', 'actually', 'safe', 'long', 'run', '.']"
Student,20,2,0,White,1.0,Iâ™m unsure safe vaccine future health.,3.0,Do not trust at all,Not sure,Somewhat confident,knew vaccines actually safe long run.,"work time school time, time vaccinated (in cases twice) difficult position.",0.25,0.3125,positive,positive,positive,515,689,81,1,18,3,1,2,0,"['work', 'time', 'school', 'time', ',', 'time', 'vaccinated', '(', 'in', 'cases', 'twice', ')', 'difficult', 'position', '.']","['Iâ™m', 'unsure', 'safe', 'vaccine', 'future', 'health', '.']","['knew', 'vaccines', 'actually', 'safe', 'long', 'run', '.']"
Staff,19,2,1,White,1.0,Iâ™m unsure safe vaccine future health.,0.0,Do not trust at all,Not sure,Somewhat confident,knew vaccines actually safe long run.,"work time school time, time vaccinated (in cases twice) difficult position.",0.25,0.3125,positive,positive,positive,515,689,81,0,18,3,1,2,0,"['work', 'time', 'school', 'time', ',', 'time', 'vaccinated', '(', 'in', 'cases', 'twice', ')', 'difficult', 'position', '.']","['Iâ™m', 'unsure', 'safe', 'vaccine', 'future', 'health', '.']","['knew', 'vaccines', 'actually', 'safe', 'long', 'run', '.']"
Student,20,2,1,Hispanic or Latinx,2.0,Iâ™m unsure safe vaccine future health.,0.0,Mostly trust,Very safe,Very confident,"Wide range appointments times, better fit schedule.","Limited times, limited places offering vaccine",0.25,0.3125,positive,negative,positive,312,144,81,1,13,4,2,3,2,"['Limited', 'times', ',', 'limited', 'places', 'offering', 'vaccine']","['Iâ™m', 'unsure', 'safe', 'vaccine', 'future', 'health', '.']","['Wide', 'range', 'appointments', 'times', ',', 'better', 'fit', 'schedule', '.']"
Student,19,2,0,White,1.0,Doesnt work/political stances/ cause health problems,0.0,Mostly trust,Mostly safe,Very confident,Knowing works doesnt cause future health problems,family doesnt approve,0.0,0.0,neutral,neutral,neutral,185,385,42,1,18,4,2,0,0,"['family', 'doesnt', 'approve']","['Doesnt', 'work/political', 'stances/', 'cause', 'health', 'problems']","['Knowing', 'works', 'doesnt', 'cause', 'future', 'health', 'problems']"
Student,20,1,0,White,1.0,risks sterile,0.0,Do not trust at all,Mostly safe,Somewhat confident,"Nothing, Iâ™m taking",little information effects,0.45,0.8500000000000001,positive,negative,neutral,223,483,331,1,18,3,1,0,3,"['little', 'information', 'effects']","['risks', 'sterile']","['Nothing', ',', 'Iâ™m', 'taking']"
Student,24,2,0,White,1.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",0.0,Mostly trust,Mostly safe,Somewhat confident,"Close house, flexible hours","Far away, open times come",-0.125,0.375,negative,positive,neutral,50,65,9,1,18,3,2,0,2,"['Far', 'away', ',', 'open', 'times', 'come']","['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']","['Close', 'house', ',', 'flexible', 'hours']"
Student,24,1,0,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",3.0,Completely trust,Very safe,Somewhat confident,Transport,Transport,-0.125,0.375,negative,neutral,neutral,288,244,9,1,18,3,0,3,2,['Transport'],"['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']",['Transport']
Student,68,1,0,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",3.0,Completely trust,Very safe,Somewhat confident,Transport,Transport,-0.125,0.375,negative,neutral,neutral,288,244,9,1,18,3,0,3,2,['Transport'],"['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']",['Transport']
Staff,30,1,1,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",0.0,Completely trust,Very safe,Somewhat confident,Transport,Transport,-0.125,0.375,negative,neutral,neutral,288,244,9,0,18,3,0,3,2,['Transport'],"['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']",['Transport']
Student,30,2,1,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",0.0,Completely trust,Very safe,Very confident,provided steps,donâ™t difficulties,-0.125,0.375,negative,neutral,neutral,615,352,9,1,18,4,0,3,0,"['donâ™t', 'difficulties']","['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']","['provided', 'steps']"
Student,30,2,0,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",3.0,Completely trust,Very safe,Very confident,provided steps,donâ™t difficulties,-0.125,0.375,negative,neutral,neutral,615,352,9,1,18,4,0,3,0,"['donâ™t', 'difficulties']","['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']","['provided', 'steps']"
Student,67,2,1,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",0.0,Completely trust,Very safe,Very confident,provided steps,donâ™t difficulties,-0.125,0.375,negative,neutral,neutral,615,352,9,1,18,4,0,3,0,"['donâ™t', 'difficulties']","['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']","['provided', 'steps']"
Staff,20,1,1,Asian,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",0.0,Completely trust,Mostly safe,Somewhat confident,Ease getting location wise,School,-0.125,0.375,negative,neutral,positive,69,224,9,0,5,3,0,0,2,['School'],"['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']","['Ease', 'getting', 'location', 'wise']"
Student,19,2,0,White,2.0,"Allergic reactions, effects, clinics monitor patients reaction/side effects abnormal vaccines",3.0,Mostly trust,Mostly safe,Somewhat confident,didnt school work focus time deal affects,school work job,-0.125,0.375,negative,neutral,neutral,422,574,9,1,18,3,2,0,0,"['school', 'work', 'job']","['Allergic', 'reactions', ',', 'effects', ',', 'clinics', 'monitor', 'patients', 'reaction/side', 'effects', 'abnormal', 'vaccines']","['didnt', 'school', 'work', 'focus', 'time', 'deal', 'affects']"
Student,19,2,0,Biracial / Multiracial / Mixed,1.0,Unknown effects,3.0,Somewhat trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity work home,school work job,-0.1,0.6,negative,neutral,positive,46,574,161,1,9,3,4,0,0,"['school', 'work', 'job']","['Unknown', 'effects']","['Clear', 'scheduling', 'practices', ';', 'proximity', 'work', 'home']"
Staff,18,2,0,Biracial / Multiracial / Mixed,1.0,Unknown effects,3.0,Somewhat trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity work home,school work job,-0.1,0.6,negative,neutral,positive,46,574,161,0,9,3,4,0,0,"['school', 'work', 'job']","['Unknown', 'effects']","['Clear', 'scheduling', 'practices', ';', 'proximity', 'work', 'home']"
Student,21,2,1,Biracial / Multiracial / Mixed,1.0,Unknown effects,0.0,Somewhat trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity work home,school work job,-0.1,0.6,negative,neutral,positive,46,574,161,1,9,3,4,0,0,"['school', 'work', 'job']","['Unknown', 'effects']","['Clear', 'scheduling', 'practices', ';', 'proximity', 'work', 'home']"
Student,24,2,1,Biracial / Multiracial / Mixed,1.0,Unknown effects,0.0,Somewhat trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity work home,school work job,-0.1,0.6,negative,neutral,positive,46,574,161,1,9,3,4,0,0,"['school', 'work', 'job']","['Unknown', 'effects']","['Clear', 'scheduling', 'practices', ';', 'proximity', 'work', 'home']"
Student,19,2,1,Biracial / Multiracial / Mixed,1.0,Unknown effects,0.0,Somewhat trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity work home,school work job,-0.1,0.6,negative,neutral,positive,46,574,161,1,9,3,4,0,0,"['school', 'work', 'job']","['Unknown', 'effects']","['Clear', 'scheduling', 'practices', ';', 'proximity', 'work', 'home']"
Student,19,2,1,White,2.0,Unknown effects,0.0,Mostly trust,Mostly safe,Somewhat confident,Clear scheduling practices; proximity work home,school work job,-0.1,0.6,negative,neutral,positive,46,574,161,1,18,3,2,0,0,"['school', 'work', 'job']","['Unknown', 'effects']","['Clear', 'scheduling', 'practices', ';', 'proximity', 'work', 'home']"
Student,29,3,0,White,2.0,Unknown effects,3.0,Completely trust,Very safe,Somewhat confident,drive campus (i live lenoir) offered weekend,able work,-0.1,0.6,negative,positive,positive,442,278,161,1,18,3,0,3,1,"['able', 'work']","['Unknown', 'effects']","['drive', 'campus', '(', 'i', 'live', 'lenoir', ')', 'offered', 'weekend']"
Staff,20,2,0,White,1.0,dont think research given vaccine feel comfortable getting it.,3.0,Do not trust at all,Not safe at all,Not at all confident,research,research,0.2,0.65,positive,neutral,positive,633,560,203,0,18,0,1,1,3,['research'],"['dont', 'think', 'research', 'given', 'vaccine', 'feel', 'comfortable', 'getting', 'it', '.']",['research']
Student,19,2,0,White,2.0,dont think research given vaccine feel comfortable getting it.,3.0,Mostly trust,Very safe,Somewhat confident,readily available close me.,Nothing.,0.2,0.65,positive,neutral,positive,623,184,203,1,18,3,2,3,1,"['Nothing', '.']","['dont', 'think', 'research', 'given', 'vaccine', 'feel', 'comfortable', 'getting', 'it', '.']","['readily', 'available', 'close', 'me', '.']"
Student,21,2,0,White,2.0,dont think research given vaccine feel comfortable getting it.,3.0,Mostly trust,Very safe,Somewhat confident,readily available close me.,Nothing.,0.2,0.65,positive,neutral,positive,623,184,203,1,18,3,2,3,1,"['Nothing', '.']","['dont', 'think', 'research', 'given', 'vaccine', 'feel', 'comfortable', 'getting', 'it', '.']","['readily', 'available', 'close', 'me', '.']"
Student,46,2,1,White,2.0,dont think research given vaccine feel comfortable getting it.,0.0,Mostly trust,Very safe,Somewhat confident,readily available close me.,Nothing.,0.2,0.65,positive,neutral,positive,623,184,203,1,18,3,2,3,1,"['Nothing', '.']","['dont', 'think', 'research', 'given', 'vaccine', 'feel', 'comfortable', 'getting', 'it', '.']","['readily', 'available', 'close', 'me', '.']"
Staff,46,2,1,White,1.0,Johnson Johnson vaccine. want Pfizer.,0.0,Not sure,Very safe,Somewhat confident,Offer  vaccines; limit want have. choice this.,Crowds people. want social distance. I'm caregiver  yr old parents. protect myself.,0.0,0.0,neutral,positive,neutral,243,45,90,0,18,3,3,3,2,"['Crowds', 'people', '.', 'want', 'social', 'distance', '.', 'I', ""'m"", 'caregiver', 'yr', 'old', 'parents', '.', 'protect', 'myself', '.']","['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['Offer', 'vaccines', ';', 'limit', 'want', 'have', '.', 'choice', 'this', '.']"
Staff,20,2,0,White,2.0,Johnson Johnson vaccine. want Pfizer.,3.0,Completely trust,Very safe,Somewhat confident,Campus location,Going campus can't bus.,0.0,0.0,neutral,neutral,neutral,37,84,90,0,18,3,0,3,2,"['Going', 'campus', 'ca', ""n't"", 'bus', '.']","['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['Campus', 'location']"
Student,20,1,0,White,2.0,Johnson Johnson vaccine. want Pfizer.,3.0,Completely trust,Very safe,Very confident,Campus location,"Class times, work time.",0.0,0.0,neutral,neutral,neutral,37,34,90,1,18,4,0,3,2,"['Class', 'times', ',', 'work', 'time', '.']","['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['Campus', 'location']"
Student,19,2,0,"Asian,White",2.0,Johnson Johnson vaccine. want Pfizer.,3.0,Completely trust,Very safe,Very confident,vaccine campus,"able there, donâ™t car",0.0,0.0,neutral,positive,neutral,698,277,90,1,6,4,0,3,2,"['able', 'there', ',', 'donâ™t', 'car']","['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['vaccine', 'campus']"
Student,19,2,0,"Asian,White",2.0,Johnson Johnson vaccine. want Pfizer.,3.0,Completely trust,Very safe,Very confident,vaccine campus,"able there, donâ™t car",0.0,0.0,neutral,positive,neutral,698,277,90,1,6,4,0,3,2,"['able', 'there', ',', 'donâ™t', 'car']","['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['vaccine', 'campus']"
Staff,19,2,1,"Asian,White",2.0,Johnson Johnson vaccine. want Pfizer.,0.0,Completely trust,Very safe,Very confident,vaccine campus,"able there, donâ™t car",0.0,0.0,neutral,positive,neutral,698,277,90,0,6,4,0,3,2,"['able', 'there', ',', 'donâ™t', 'car']","['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['vaccine', 'campus']"
Student,18,2,1,White,2.0,Johnson Johnson vaccine. want Pfizer.,0.0,Mostly trust,Very safe,Very confident,vaccine campus,Transportation,0.0,0.0,neutral,neutral,neutral,698,245,90,1,18,4,2,3,2,['Transportation'],"['Johnson', 'Johnson', 'vaccine', '.', 'want', 'Pfizer', '.']","['vaccine', 'campus']"
Student,19,2,0,White,1.0,Fertility issues,0.0,Completely trust,Very safe,Very confident,Knowing people got,Improper handling distibution,0.0,0.0,neutral,neutral,negative,178,95,52,1,18,4,0,3,2,"['Improper', 'handling', 'distibution']","['Fertility', 'issues']","['Knowing', 'people', 'got']"
Student,35,2,0,White,1.0,Fertility issues,3.0,Completely trust,Very safe,Very confident,Knowing people got,Improper handling distibution,0.0,0.0,neutral,neutral,negative,178,95,52,1,18,4,0,3,2,"['Improper', 'handling', 'distibution']","['Fertility', 'issues']","['Knowing', 'people', 'got']"
Staff,18,2,1,White,1.0,Fertility issues,0.0,Completely trust,Very safe,Very confident,Knowing people got,Improper handling distibution,0.0,0.0,neutral,neutral,negative,178,95,52,0,18,4,0,3,2,"['Improper', 'handling', 'distibution']","['Fertility', 'issues']","['Knowing', 'people', 'got']"
Student,19,2,1,Hispanic or Latinx,1.0,Causes death unsure itâ™s safest option,0.0,Mostly trust,Mostly safe,Somewhat confident,Knowing people got,Improper handling distibution,0.0,0.0,neutral,neutral,negative,178,95,27,1,13,3,2,0,2,"['Improper', 'handling', 'distibution']","['Causes', 'death', 'unsure', 'itâ™s', 'safest', 'option']","['Knowing', 'people', 'got']"
Student,19,6,0,"Black or African American,Hispanic or Latinx",2.0,Causes death unsure itâ™s safest option,3.0,Mostly trust,Very safe,Somewhat confident,knowing,sure,0.0,0.0,neutral,negative,neutral,521,586,27,1,11,3,2,3,0,['sure'],"['Causes', 'death', 'unsure', 'itâ™s', 'safest', 'option']",['knowing']
Student,19,2,0,White,2.0,Causes death unsure itâ™s safest option,3.0,Completely trust,Very safe,Very confident,Location,Location,0.0,0.0,neutral,neutral,neutral,194,145,27,1,18,4,0,3,2,['Location'],"['Causes', 'death', 'unsure', 'itâ™s', 'safest', 'option']",['Location']
Staff,41,2,0,White,2.0,Causes death unsure itâ™s safest option,3.0,Completely trust,Very safe,Very confident,Location,Location,0.0,0.0,neutral,neutral,neutral,194,145,27,0,18,4,0,3,2,['Location'],"['Causes', 'death', 'unsure', 'itâ™s', 'safest', 'option']",['Location']
Staff,21,2,1,White,1.0,johnson johnson effective,3.0,Completely trust,Not sure,Very confident,Location,unsure group,0.6,0.8,positive,neutral,neutral,194,643,279,0,18,4,0,2,3,"['unsure', 'group']","['johnson', 'johnson', 'effective']",['Location']
Student,21,2,0,White,1.0,johnson johnson effective,3.0,Completely trust,Not sure,Very confident,Location,unsure group,0.6,0.8,positive,neutral,neutral,194,643,279,1,18,4,0,2,3,"['unsure', 'group']","['johnson', 'johnson', 'effective']",['Location']
Student,19,2,1,White,2.0,johnson johnson effective,0.0,Completely trust,Very safe,Somewhat confident,Location,unsure group,0.6,0.8,positive,neutral,neutral,194,643,279,1,18,3,0,3,3,"['unsure', 'group']","['johnson', 'johnson', 'effective']",['Location']
Student,20,2,0,White,2.0,johnson johnson effective,3.0,Mostly trust,Mostly safe,Somewhat confident,Location campus,Time,0.6,0.8,positive,neutral,neutral,195,235,279,1,18,3,2,0,1,['Time'],"['johnson', 'johnson', 'effective']","['Location', 'campus']"
Student,18,2,0,White,1.0,pain,3.0,Mostly trust,Very safe,Somewhat confident,Johnson Johnson vaccination,,0.0,0.0,neutral,neutral,neutral,167,0,304,1,18,3,2,3,4,[],['pain'],"['Johnson', 'Johnson', 'vaccination']"
